Time(s)	r	y	r - y	y_quan - y_prime	y - y_prime
0.1	25.75	97.1708	-71.4208	0	-2.93512e-09
1.1	25.75	-26.7821	52.5321	4.17838e-05	5.58327e-05
2.1	25.75	46.4889	-20.7389	-2.8401e-06	5.88944e-05
3.1	25.75	18.7311	7.01893	-2.85587e-05	0.000300548
4.1	25.75	16.2054	9.54464	0.000153983	0.000149027
5.1	25.75	33.2155	-7.46547	-6.28158e-05	0.000607719
6.1	25.75	15.3285	10.4215	3.78513e-05	0.0005112
7.1	25.75	28.3885	-2.63846	0.000395801	0.000188164
8.1	25.75	22.4049	3.34507	-0.000219909	0.000453077
9.1	25.75	23.4878	2.26221	0.000322971	0.000677579
10.1	25.75	25.5469	0.203115	-0.000214315	0.000159581
11.1	25.75	23.0223	2.72772	-0.000189352	0.000953499
12.1	25.75	25.3045	0.445462	-0.000126867	0.000425102
13.1	25.75	24.2012	1.54878	9.32822e-05	0.000705847
14.1	25.75	24.6701	1.07988	-2.50923e-05	0.00082266
15.1	25.75	24.928	0.822008	-5.72767e-05	0.000546697
16.1	25.75	24.647	1.10301	0.000104646	0.000645871
17.1	25.75	25.0716	0.678379	-0.000259074	0.00078337
18.1	25.75	24.9195	0.830485	1.98433e-05	0.000615472
19.1	25.75	25.0768	0.673208	-0.000314133	0.000569589
20.1	25.75	25.1386	0.611402	0.000435261	0.000958579
21.1	25.75	25.1464	0.603608	-0.000140595	0.000449634
22.1	25.75	25.2498	0.500152	0.000150504	0.00115816
23.1	25.75	25.256	0.493988	0.000157905	0.000664483
24.1	25.75	25.3173	0.432683	-0.000199578	0.000849093
25.1	25.75	25.3516	0.398355	0.000280963	0.000991443
26.1	25.75	25.3811	0.368877	0.000110944	0.000775984
27.1	25.75	25.4203	0.329726	-0.000100276	0.000571969
28.1	25.75	25.4433	0.306714	0.000176819	0.00107896
29.1	25.75	25.4728	0.277219	-0.000367856	0.000357361
30.1	25.75	25.4967	0.253291	0.000180875	0.00138675
31.1	25.75	25.5175	0.232548	-0.000331065	0.000439437
32.1	25.75	25.5395	0.210532	9.69596e-05	0.0012718
33.1	25.75	25.5563	0.193731	-8.75338e-05	0.000690806
34.1	25.75	25.5744	0.175625	2.10821e-05	0.00130651
35.1	25.75	25.5893	0.160696	0.000110378	0.00118177
36.1	25.75	25.6032	0.146803	-0.00010232	0.00103845
37.1	25.75	25.6162	0.133773	0.000230409	0.00113508
38.1	25.75	25.6279	0.122141	-0.000269706	0.00122444
39.1	25.75	25.6386	0.111422	1.24276e-05	0.00114265
40.1	25.75	25.6477	0.102253	0.000440694	0.000615207
41.1	25.75	25.6571	0.092901	-0.00054721	0.00104082
42.1	25.75	25.665	0.0850347	0.000801516	0.000754387
43.1	25.75	25.6727	0.0773002	-0.000298324	0.00107631
44.1	25.75	25.6795	0.070522	2.29981e-05	0.00104501
45.1	25.75	25.6854	0.064557	-6.38781e-05	0.000819704
46.1	25.75	25.6913	0.05871	-8.22813e-05	0.000997934
47.1	25.75	25.6967	0.0533296	0.00017882	0.00120383
48.1	25.75	25.7012	0.0487995	-0.000192779	0.00101141
49.1	25.75	25.7054	0.0445671	-0.000164697	0.000924856
50.1	25.75	25.7093	0.0406943	0.000195851	0.000857746
51.1	25.75	25.7131	0.0369077	-0.000143884	0.00104294
52.1	25.75	25.7165	0.0335241	8.00852e-05	0.00113817
53.1	25.75	25.7195	0.0305212	-7.52943e-05	0.00113799
54.1	25.75	25.722	0.027971	0.000314304	0.000944512
55.1	25.75	25.7247	0.0252949	-0.000267982	0.00111539
56.1	25.75	25.7269	0.023098	0.000334073	0.00102361
57.1	25.75	25.7292	0.0207858	-0.000359631	0.00124575
58.1	25.75	25.7311	0.0189128	4.77258e-05	0.00120975
59.1	25.75	25.7325	0.0174771	0.000312659	0.000901807
